"","age_group","boosted_rate","week","week_num"
"352","18-49 years",0.000187501870128293,2023-04-30,70
"353","50-64 years",0.000533167624669877,2023-04-30,70
"354","65-74 years",0.00122166188936066,2023-04-30,70
"355","75+ years",0.00124215736165226,2023-04-30,70
"356","0-17 years",0.000114138861028448,2023-05-07,71
"357","18-49 years",3.1732942510993e-05,2023-05-07,71
"358","50-64 years",9.77152041439946e-05,2023-05-07,71
"359","65-74 years",0.00022225137887821,2023-05-07,71
"360","75+ years",0.000248698919215066,2023-05-07,71
"361","0-17 years",0,2023-05-14,72
"362","18-49 years",0,2023-05-14,72
"363","50-64 years",0,2023-05-14,72
"364","65-74 years",0,2023-05-14,72
"365","75+ years",0,2023-05-14,72
"366","0-17 years",0,2023-05-21,73
"367","18-49 years",0,2023-05-21,73
"368","50-64 years",0,2023-05-21,73
"369","65-74 years",0,2023-05-21,73
"370","75+ years",0,2023-05-21,73
"371","0-17 years",0,2023-05-28,74
"372","18-49 years",0,2023-05-28,74
"373","50-64 years",0,2023-05-28,74
"374","65-74 years",0,2023-05-28,74
"375","75+ years",0,2023-05-28,74
"376","0-17 years",0,2023-06-04,75
"377","18-49 years",0,2023-06-04,75
"378","50-64 years",0,2023-06-04,75
"379","65-74 years",0,2023-06-04,75
"380","75+ years",0,2023-06-04,75
"381","0-17 years",0,2023-06-11,76
"382","18-49 years",0,2023-06-11,76
"383","50-64 years",0,2023-06-11,76
"384","65-74 years",0,2023-06-11,76
"385","75+ years",0,2023-06-11,76
"386","0-17 years",0,2023-06-18,77
"387","18-49 years",0,2023-06-18,77
"388","50-64 years",0,2023-06-18,77
"389","65-74 years",0,2023-06-18,77
"390","75+ years",0,2023-06-18,77
"391","0-17 years",0,2023-06-25,78
"392","18-49 years",0,2023-06-25,78
"393","50-64 years",0,2023-06-25,78
"394","65-74 years",0,2023-06-25,78
"395","75+ years",0,2023-06-25,78
"396","0-17 years",0,2023-07-02,79
"397","18-49 years",0,2023-07-02,79
"398","50-64 years",0,2023-07-02,79
"399","65-74 years",0,2023-07-02,79
"400","75+ years",0,2023-07-02,79
"401","0-17 years",0,2023-07-09,80
"402","18-49 years",0,2023-07-09,80
"403","50-64 years",0,2023-07-09,80
"404","65-74 years",0,2023-07-09,80
"405","75+ years",0,2023-07-09,80
"406","0-17 years",0,2023-07-16,81
"407","18-49 years",0,2023-07-16,81
"408","50-64 years",0,2023-07-16,81
"409","65-74 years",0,2023-07-16,81
"410","75+ years",0,2023-07-16,81
"411","0-17 years",0,2023-07-23,82
"412","18-49 years",0,2023-07-23,82
"413","50-64 years",0,2023-07-23,82
"414","65-74 years",0,2023-07-23,82
"415","75+ years",0,2023-07-23,82
"416","0-17 years",0,2023-07-30,83
"417","18-49 years",0,2023-07-30,83
"418","50-64 years",0,2023-07-30,83
"419","65-74 years",0,2023-07-30,83
"420","75+ years",0,2023-07-30,83
"421","0-17 years",0,2023-08-06,84
"422","18-49 years",0,2023-08-06,84
"423","50-64 years",0,2023-08-06,84
"424","65-74 years",0,2023-08-06,84
"425","75+ years",0,2023-08-06,84
"426","0-17 years",0,2023-08-13,85
"427","18-49 years",0,2023-08-13,85
"428","50-64 years",0,2023-08-13,85
"429","65-74 years",0,2023-08-13,85
"430","75+ years",0,2023-08-13,85
"431","0-17 years",0,2023-08-20,86
"432","18-49 years",0,2023-08-20,86
"433","50-64 years",0,2023-08-20,86
"434","65-74 years",0,2023-08-20,86
"435","75+ years",0,2023-08-20,86
"436","0-17 years",0,2023-08-27,87
"437","18-49 years",0,2023-08-27,87
"438","50-64 years",0,2023-08-27,87
"439","65-74 years",0,2023-08-27,87
"440","75+ years",0,2023-08-27,87
"441","0-17 years",0,2023-09-03,88
"442","18-49 years",0,2023-09-03,88
"443","50-64 years",0,2023-09-03,88
"444","65-74 years",0,2023-09-03,88
"445","75+ years",0,2023-09-03,88
"446","0-17 years",0,2023-09-10,89
"447","18-49 years",0,2023-09-10,89
"448","50-64 years",0,2023-09-10,89
"449","65-74 years",0,2023-09-10,89
"450","75+ years",0,2023-09-10,89
"451","0-17 years",0,2023-09-17,90
"452","18-49 years",0,2023-09-17,90
"453","50-64 years",0,2023-09-17,90
"454","65-74 years",0,2023-09-17,90
"455","75+ years",0,2023-09-17,90
"456","0-17 years",0,2023-09-24,91
"457","18-49 years",0,2023-09-24,91
"458","50-64 years",0,2023-09-24,91
"459","65-74 years",0,2023-09-24,91
"460","75+ years",0,2023-09-24,91
"461","0-17 years",8.9e-05,2023-10-01,92
"462","18-49 years",0.014,2023-10-01,92
"463","50-64 years",0.0389895,2023-10-01,92
"464","65-74 years",0.057,2023-10-01,92
"465","75+ years",0.068,2023-10-01,92
"466","0-17 years",0.000135,2023-10-08,93
"467","18-49 years",0.01,2023-10-08,93
"468","50-64 years",0.00798150000000001,2023-10-08,93
"469","65-74 years",0.046,2023-10-08,93
"470","75+ years",0.049,2023-10-08,93
"471","0-17 years",8.3e-05,2023-10-15,94
"472","18-49 years",0.008,2023-10-15,94
"473","50-64 years",0.0211465,2023-10-15,94
"474","65-74 years",0.049,2023-10-15,94
"475","75+ years",0.06,2023-10-15,94
"476","0-17 years",0.000103,2023-10-22,95
"477","18-49 years",0.00899999999999999,2023-10-22,95
"478","50-64 years",0.0317285,2023-10-22,95
"479","65-74 years",0.032,2023-10-22,95
"480","75+ years",0.046,2023-10-22,95
"481","0-17 years",7.7e-05,2023-10-29,96
"482","18-49 years",0.007,2023-10-29,96
"483","50-64 years",0.0141145,2023-10-29,96
"484","65-74 years",0.015,2023-10-29,96
"485","75+ years",0.012,2023-10-29,96
"486","0-17 years",0.00021,2023-11-05,97
"487","18-49 years",0.019,2023-11-05,97
"488","50-64 years",0.021924,2023-11-05,97
"489","65-74 years",0.02,2023-11-05,97
"490","75+ years",0,2023-11-05,97
"491","0-17 years",5.4e-05,2023-11-12,98
"492","18-49 years",0.008,2023-11-12,98
"493","50-64 years",0.0189225,2023-11-12,98
"494","65-74 years",0.016,2023-11-12,98
"495","75+ years",0.028,2023-11-12,98
"496","0-17 years",9.1e-05,2023-11-19,99
"497","18-49 years",0.011,2023-11-19,99
"498","50-64 years",0.00807500000000001,2023-11-19,99
"499","65-74 years",0.032,2023-11-19,99
"500","75+ years",0.015,2023-11-19,99
"501","0-17 years",2.4e-05,2023-11-26,100
"502","18-49 years",0.00200000000000001,2023-11-26,100
"503","50-64 years",0.0043505,2023-11-26,100
"504","65-74 years",0.005,2023-11-26,100
"505","75+ years",0.00599999999999998,2023-11-26,100
"506","0-17 years",0.000136,2023-12-03,101
"507","18-49 years",0.012,2023-12-03,101
"508","50-64 years",0.017963,2023-12-03,101
"509","65-74 years",0.018,2023-12-03,101
"510","75+ years",0.011,2023-12-03,101
"511","0-17 years",1.8e-05,2023-12-10,102
"512","18-49 years",0.00800000000000001,2023-12-10,102
"513","50-64 years",0.00586500000000001,2023-12-10,102
"514","65-74 years",0.01,2023-12-10,102
"515","75+ years",0.00399999999999999,2023-12-10,102
"516","0-17 years",5e-06,2023-12-17,103
"517","18-49 years",0.000999999999999997,2023-12-17,103
"518","50-64 years",0.00590849999999996,2023-12-17,103
"519","65-74 years",0.012,2023-12-17,103
"520","75+ years",0.00400000000000002,2023-12-17,103
"521","0-17 years",3.9e-05,2023-12-24,104
"522","18-49 years",0.000999999999999997,2023-12-24,104
"523","50-64 years",0.0077815,2023-12-24,104
"524","65-74 years",0.00199999999999999,2023-12-24,104
"525","75+ years",0.00399999999999999,2023-12-24,104
"526","0-17 years",6.00000000000003e-06,2023-12-31,105
"527","18-49 years",0.00199999999999999,2023-12-31,105
"528","50-64 years",0.00125650000000004,2023-12-31,105
"529","65-74 years",0.00300000000000001,2023-12-31,105
"530","75+ years",0.014,2023-12-31,105
