"","variant_group","week","weeks_since","share","total_shares_by_week","rescaled_share"
"267","BQ",2023-08-12,84,0.0003630973224065,0.63787910042447,0.00056922592724057
"268","BQ",2023-08-19,85,0.000305966532324,0.620493083319162,0.000493102244890972
"269","BQ",2023-11-18,98,0.0006311128090605,0.605274256755365,0.00104268899927059
"270","BQ",2023-11-25,99,0.000956259085797,0.608078368823045,0.001572591848067
"271","BQ",2023-12-02,100,0.000761904666433,0.657689147075871,0.00115845710670531
"272","BQ",2023-12-09,101,0.000567550247069,0.707299925328698,0.000802418078589852
"273","Last",2022-02-05,5,3.7187226553e-05,0.74571483667023,4.9867891483893e-05
"274","Last",2022-02-19,7,3.070593084e-05,0.794656949794445,3.86404861216437e-05
"275","Last",2022-03-26,12,0.000268538537057,0.933969610774512,0.000287523848698149
"276","Last",2022-04-02,13,0.000506371143274,0.960854876582744,0.000527000648708675
"277","Last",2022-04-09,14,0.000312859487167,0.973340780776199,0.000321428520561429
"278","Last",2022-04-16,15,0.00011934783106,0.985664921325225,0.000121083573613979
"279","Last",2022-05-07,18,9.8868058558e-05,0.991603000635224,9.97052837624179e-05
"280","Last",2022-05-14,19,7.8388286056e-05,0.993163213453955,7.89278992557392e-05
"281","Last",2022-12-03,48,8.36900762805e-05,0.846206869035086,9.89002563592165e-05
"282","Last",2022-12-10,49,8.8991866505e-05,0.858613932316074,0.00010364596142174
"283","Last",2023-02-25,60,0.000111476101665,0.89693905828426,0.000124285034345857
"284","Last",2023-03-04,61,0.000185764976777,0.885571082239038,0.000209768566863453
"285","Last",2023-04-15,67,0.001563429599628,0.881328284507617,0.00177394692433077
"286","Last",2023-04-22,68,0.0022050496190785,0.880433524376712,0.00250450438111103
"287","Last",2023-04-29,69,0.002846669638529,0.879538764245807,0.00323654823897385
"288","Last",2023-05-06,70,0.0035025457618755,0.866014376530074,0.00404444297554207
"289","Last",2023-05-13,71,0.004158421885222,0.85248998881434,0.00487797151847568
"290","Last",2023-05-20,72,0.0084430857095865,0.832655512567726,0.0101399505343451
"291","Last",2023-05-27,73,0.012727749533951,0.812821036321111,0.0156587353983329
"292","Last",2023-06-03,74,0.025580933783203,0.790960533136967,0.0323416058216564
"293","Last",2023-06-10,75,0.038434118032455,0.769100029952823,0.049972846880285
"294","Last",2023-06-17,76,0.0374477338045835,0.751260350632946,0.0498465462379764
"295","Last",2023-06-24,77,0.036461349576712,0.734995086677372,0.049607609952251
"296","Last",2023-07-01,78,0.0501889009028675,0.717869869200511,0.0699136473839787
"297","Last",2023-07-08,79,0.063916452229023,0.699170236359349,0.091417581734947
"298","Last",2023-07-15,80,0.0882133937557225,0.689304285624528,0.127974532576421
"299","Last",2023-07-22,81,0.112324570305645,0.67925256991293,0.165364954482312
"300","Last",2023-07-29,82,0.154768822249024,0.667185592697932,0.231972668389283
"301","Last",2023-08-05,83,0.197213074192404,0.655644149344879,0.300792852936246
"302","Last",2023-08-12,84,0.212784832343459,0.63787910042447,0.333581758991418
"303","Last",2023-08-19,85,0.228356590494513,0.620493083319162,0.368024393234136
"304","Last",2023-08-26,86,0.255478831008077,0.607440985739232,0.420582142143683
"305","Last",2023-09-02,87,0.28260107152164,0.594694854691625,0.475203491828058
"306","Last",2023-09-09,88,0.306139622920455,0.578352888773225,0.529330152685542
"307","Last",2023-09-16,89,0.329589182452765,0.561542899173219,0.586935001649975
"308","Last",2023-09-23,90,0.350848859001417,0.570242849469651,0.615262180538907
"309","Last",2023-09-30,91,0.372108535550069,0.578942799766083,0.642737997087823
"310","Last",2023-10-07,92,0.394764363765717,0.57131848303834,0.690970755341771
"311","Last",2023-10-14,93,0.418292477726937,0.564040918194224,0.741599526265044
"312","Last",2023-10-21,94,0.44148657025653,0.574699144082842,0.768204676833293
"313","Last",2023-10-28,95,0.46380837704055,0.587879315717145,0.788951685559403
"314","Last",2023-11-04,96,0.486582145444117,0.596774332108907,0.815353676027943
"315","Last",2023-11-11,97,0.509355913847685,0.602930426597594,0.844800480085305
"316","Last",2023-11-18,98,0.523594180122018,0.605274256755365,0.865052782731581
"317","Last",2023-11-25,99,0.537832446396351,0.608078368823045,0.88447883360387
"318","Last",2023-12-02,100,0.594346668571234,0.657689147075871,0.903689335932846
"319","Last",2023-12-09,101,0.650860890746117,0.707299925328698,0.920204947630452
"320","Last",2023-12-16,102,0.679665051400661,0.725038377568126,0.937419414514784
"321","Last",2023-12-23,103,0.708469212055206,0.74257813161239,0.954066894640269
"322","XBB",2022-02-05,5,7.4374453106e-05,0.74571483667023,9.9735782967786e-05
"323","XBB",2022-02-12,6,5.2540191973e-05,0.770129222853938,6.82225663094526e-05
"324","XBB",2022-02-19,7,3.070593084e-05,0.794656949794445,3.86404861216437e-05
